section communale,Cultures,Saison 1,Saison2,Saison 3 et plus,total saison 1 ,total saison 2,moyenne 2 saisons,pc saison 1,pc saison 2,moyenne s1-s2,Pc moyenne,Total 2 saisons
732-03,Riz,32.23,23.82,0,1024.53,233.57,629.05,3.15%,10.20%,28.025,4.46%,56.05
732-04,Riz,4.03,2.63,0,451.92,37.94,244.93,0.89%,6.93%,3.33,1.36%,6.66
732-05,Riz,4.42,4.37,0,898.8,278.11,588.455,0.49%,1.57%,4.395,0.75%,8.79
732-06,Riz,116.06,16.53,0,609.1,38.64,323.87,19.05%,42.78%,66.295,20.47%,132.59
732-07,Riz,0,0.5,0,497.14,335.54,416.34,0.00%,0.15%,0.25,0.06%,0.5
732-08,Riz,0,0.01,0,797.83,785.52,791.675,0.00%,0.00%,0.005,0.00%,0.01
733-01,Riz,1.51,2.05,0,1301.77,1038.63,1170.2,0.12%,0.20%,1.78,0.15%,3.56
733-02,Riz,108.89,4.32,0,1767.69,1509.05,1638.37,6.16%,0.29%,56.605,3.45%,113.21
733-03,Riz,21.31,2.44,0,614.92,552.59,583.755,3.47%,0.44%,11.875,2.03%,23.75
733-04,Riz,0.78,0.94,0,985.76,995.02,990.39,0.08%,0.09%,0.86,0.09%,1.72
733-05,Riz,0,0,0,487.38,177.54,332.46,0.00%,0.00%,0,0.00%,0
741-01,Riz,0.97,1.41,0,944.98,355.94,650.46,0.10%,0.40%,1.19,0.18%,2.38
741-02,Riz,0,0,0,631.51,145.71,388.61,0.00%,0.00%,0,0.00%,0
741-03,Riz,0,0.38,0,756.88,197.99,477.435,0.00%,0.19%,0.19,0.04%,0.38
742-01,Riz,0,0,0,155.44,40.69,98.065,0.00%,0.00%,0,0.00%,0
742-02,Riz,0.25,0,0,848.3,82.45,465.375,0.03%,0.00%,0.125,0.03%,0.25
743-01,Riz,0.35,0.2,0,538.59,265.58,402.085,0.06%,0.08%,0.275,0.07%,0.55
743-02,Riz,0,0.01,0,319.47,153.92,236.695,0.00%,0.01%,0.005,0.00%,0.01
743-03,Riz,0.5,0,0,347.11,170.57,258.84,0.14%,0.00%,0.25,0.10%,0.5
751-01,Riz,0.01,0,0,548.46,27.09,287.775,0.00%,0.00%,0.005,0.00%,0.01
751-02,Riz,3.6,2.3,0,1489.78,286.89,888.335,0.24%,0.80%,2.95,0.33%,5.9
751-03,Riz,0,0,0,1040.54,214.43,627.485,0.00%,0.00%,0,0.00%,0
752-01,Riz,97.87,97.97,25.07,1182.69,986.26,1084.475,8.28%,9.93%,97.92,9.03%,195.84
752-02,Riz,0,0.85,0,1042.09,850.95,946.52,0.00%,0.10%,0.425,0.04%,0.85
752-03,Riz,0,0,2.75,2822.88,163.95,1493.415,0.00%,0.00%,0,0.00%,0
753-01,Riz,4,6.06,0,1009.65,803.39,906.52,0.40%,0.75%,5.03,0.55%,10.06
753-02,Riz,1.82,2.97,0,1454.53,815.29,1134.91,0.13%,0.36%,2.395,0.21%,4.79
753-03,Riz,3.83,1.5,0,1989.97,466.3,1228.135,0.19%,0.32%,2.665,0.22%,5.33
753-04,Riz,10,8.25,0,773.69,122.75,448.22,1.29%,6.72%,9.125,2.04%,18.25
811-01,Riz,0.27,0.1,0,724.16,357,540.58,0.04%,0.03%,0.185,0.03%,0.37
811-02,Riz,0.06,0.05,0,2481.06,475.19,1478.125,0.00%,0.01%,0.055,0.00%,0.11
811-03,Riz,9.37,0.75,0,2103.85,1000.57,1552.21,0.45%,0.07%,5.06,0.33%,10.12
811-04,Riz,0.03,0,0.12,1518.33,982.28,1250.305,0.00%,0.00%,0.015,0.00%,0.03
811-05,Riz,0,0,0,886.45,14.44,450.445,0.00%,0.00%,0,0.00%,0
811-06,Riz,21.35,144.42,20.45,2517.76,2349.95,2433.855,0.85%,6.15%,82.885,3.41%,165.77
811-07,Riz,1.27,0.25,0.25,535.6,139.8,337.7,0.24%,0.18%,0.76,0.23%,1.52
811-08,Riz,2.03,7.54,1.98,559.95,383.92,471.935,0.36%,1.96%,4.785,1.01%,9.57
811-09,Riz,0,0,0,482.33,113.81,298.07,0.00%,0.00%,0,0.00%,0
812-01,Riz,0,0,0,992.66,120.59,556.625,0.00%,0.00%,0,0.00%,0
812-02,Riz,0.4,0,0,766.06,141.74,453.9,0.05%,0.00%,0.2,0.04%,0.4
812-03,Riz,1.94,0,0,1022.45,83.57,553.01,0.19%,0.00%,0.97,0.18%,1.94
812-04,Riz,0.38,0,0,707.48,12,359.74,0.05%,0.00%,0.19,0.05%,0.38
813-01,Riz,0,0,0,883.44,37.92,460.68,0.00%,0.00%,0,0.00%,0
814-01,Riz,0.13,0,0,881.58,340.04,610.81,0.01%,0.00%,0.065,0.01%,0.13
814-02,Riz,182.48,5.34,0.03,1178,833.31,1005.655,15.49%,0.64%,93.91,9.34%,187.82
